Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
2295,Humberto Builes,0,0,1,2,0,0,4,7,7,5,9,21,4,9,1
2327,Isabel Celis,54,42,17,25,16,18,0,0,1,0,0,0,0,0,0
2341,Ivan Diaz,4,9,10,22,16,18,18,23,12,22,17,59,76,19,7
2378,Jaime Bravo,62,60,39,43,26,22,37,47,29,33,34,60,59,55,21
2427,Jaime Alonso Zuluaga,4,11,21,8,0,5,8,2,2,6,15,9,4,3,0
2443,Jaime Enrique Duran,0,2,0,0,0,2,3,1,0,0,0,0,0,0,0
2486,Jairo Sanchez,14,9,13,8,19,5,7,7,2,9,12,13,11,11,4
2541,Javier Ramirez,7,39,32,23,16,9,8,4,2,2,14,8,2,9,1
2557,Javier Ramiro Devia,1,2,0,5,1,0,2,1,0,0,0,0,0,0,0
2604,Jesus Enrique Pinacue,5,80,46,23,28,39,22,21,16,50,56,23,10,6,6
2655,Jimmy Chamorro,13,74,21,33,29,41,29,20,35,34,1,8,17,0,2
2725,Jorge Alberto Garciaherreros,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2740,Jorge Armando Mendieta,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0
2750,Jorge Eduardo Casabianca,0,0,1,0,0,4,4,1,1,0,3,0,1,0,0
2765,Jorge Eliecer Franco,46,38,79,74,47,72,56,43,57,62,74,126,50,89,19
2786,Jorge Enrique Ramirez,126,58,17,28,37,23,47,38,31,16,48,60,33,36,13
2801,Jorge Hernando Pedraza,3,4,1,3,1,2,1,5,8,8,4,6,21,4,0
2831,Jorge Julian Silva,19,8,6,3,10,12,6,2,3,4,11,29,26,11,11
2898,Jose Albeiro Mejia,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2936,Jose Antonio Salazar,6,8,5,2,5,3,1,2,1,1,2,3,3,6,2
2962,Jose David Name,64,96,26,21,25,28,6,17,20,17,142,26,9,10,4
3001,Jose Gentil Palacios,8,4,6,1,8,1,2,0,3,4,8,7,4,4,4
3023,Jose Homero Cadena,76,56,39,40,26,39,58,37,19,25,34,44,50,31,19
3062,Jose Luis Arcila,1,1,0,2,0,0,3,1,0,7,11,14,3,4,2
3090,Jose Maria Villanueva,4,0,1,7,1,0,2,3,1,0,1,1,1,5,0
3120,Jose Ramiro Luna,15,9,8,10,8,4,9,11,4,2,12,14,17,8,5
3144,Jose Tyrone Carvajal,7,12,2,3,0,2,1,2,2,3,8,0,1,6,2
3208,Juan Carlos Restrepo,3,4,4,3,2,1,4,3,1,2,7,17,2,3,2
3225,Juan De Jesus Cardenas,6,2,3,8,13,12,6,8,4,2,34,5,16,11,4
